UniProtKB:Q14CS0		GO:0000132		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00090448	PANTHER:PTHR23333	protein	UniProtKB:Q14CS0	GO_REF:0000117	20250428
UniProtKB:Q14CS0		GO:0000132		UniProt	NCBITaxon:9606	IGI	UniProtKB:Q9UNZ2	PANTHER:PTHR23333	protein	UniProtKB:Q14CS0	PMID:23649807	20180327
UniProtKB:Q9BQE3		GO:0000278		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000172598|TAIR:locus:2166469|TAIR:locus:2076750|SGD:S000004550|PomBase:SPBC32F12.04|FB:FBgn0087040|UniProtKB:P10653|UniProtKB:P18695|WB:WBGene00006528|PomBase:SPBC800.05c|PomBase:SPBC26H8.07c|WB:WBGene00006540|WB:WBGene00006529|SGD:S000004202|UniProtKB:A0A644F0Y1|SGD:S000001857|FB:FBgn0260639	PANTHER:PTHR11588	protein		GO_REF:0000033	20241120
UniProtKB:Q9BQA5		GO:0000082		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR24391	protein	UniProtKB:Q9BQA5	PMID:14585971	20090713
UniProtKB:Q08050		GO:0000086		InterPro	NCBITaxon:9606	IEA	InterPro:IPR042839	PANTHER:PTHR46878	protein	UniProtKB:Q08050	GO_REF:0000002	20250429
UniProtKB:Q08050		GO:0000086		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR46878	protein	UniProtKB:Q08050	PMID:19160488	20111124
UniProtKB:Q9BPX3		GO:0007076		InterPro	NCBITaxon:9606	IEA	InterPro:IPR027165	PANTHER:PTHR14418	protein	UniProtKB:Q9BPX3	GO_REF:0000002	20250429
UniProtKB:Q9BPX3		GO:0007076		UniProt	NCBITaxon:9606	NAS		PANTHER:PTHR14418	protein	UniProtKB:Q9BPX3	PMID:10910072	20050308
UniProtKB:Q9BPX3		GO:0007076		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR14418	protein	UniProtKB:Q9BPX3	PMID:11136719	20090130
UniProtKB:Q9BPX3		GO:0007076		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000373918|FB:FBgn0259876|SGD:S000002733|UniProtKB:Q9BPX3|PomBase:SPCC188.03	PANTHER:PTHR14418	protein		GO_REF:0000033	20170228
